IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-1.8722780E-11	0.0000000E+0
-1.0000000E+1	5.8744000E-12	0.0000000E+0
-2.0000000E+1	8.0556500E-12	0.0000000E+0
-3.0000000E+1	9.3736300E-12	0.0000000E+0
-4.0000000E+1	1.0961460E-11	0.0000000E+0
-5.0000000E+1	1.1734340E-11	0.0000000E+0
-6.0000000E+1	1.1909780E-11	0.0000000E+0
-7.0000000E+1	1.1809660E-11	0.0000000E+0
-8.0000000E+1	1.1530920E-11	0.0000000E+0
-9.0000000E+1	1.1605180E-11	0.0000000E+0
-1.0000000E+2	1.1214760E-11	0.0000000E+0
-1.1000000E+2	1.1173960E-11	0.0000000E+0
-1.2000000E+2	1.1204940E-11	0.0000000E+0
-1.3000000E+2	1.1252900E-11	0.0000000E+0
-1.4000000E+2	1.1370120E-11	0.0000000E+0
-1.5000000E+2	1.1451450E-11	0.0000000E+0
-1.6000000E+2	1.1612920E-11	0.0000000E+0
-1.7000000E+2	1.1757190E-11	0.0000000E+0
-1.8000000E+2	1.1939910E-11	0.0000000E+0
-1.9000000E+2	1.2106500E-11	0.0000000E+0
-2.0000000E+2	1.2464470E-11	0.0000000E+0
-2.1000000E+2	1.2043580E-11	0.0000000E+0
-2.2000000E+2	1.2809080E-11	0.0000000E+0
-2.3000000E+2	1.3115180E-11	0.0000000E+0
-2.4000000E+2	1.3483620E-11	0.0000000E+0
-2.5000000E+2	1.3723360E-11	0.0000000E+0
-2.6000000E+2	1.4283240E-11	0.0000000E+0
-2.7000000E+2	1.4660860E-11	0.0000000E+0
-2.8000000E+2	1.5268990E-11	0.0000000E+0
-2.9000000E+2	1.5954220E-11	0.0000000E+0
-3.0000000E+2	1.6746760E-11	0.0000000E+0
-3.1000000E+2	1.7708840E-11	0.0000000E+0
-3.2000000E+2	1.9155650E-11	0.0000000E+0
-3.3000000E+2	3.5872500E-11	0.0000000E+0
-3.4000000E+2	4.0037400E-11	0.0000000E+0
-3.5000000E+2	4.6663700E-11	0.0000000E+0
