CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
5.0000000E+0	1.5227000E-10	1.5545000E-10	1.5615000E-10	4.7690000E-10	4.6387000E-10
1.7250000E+1	8.0950000E-11	7.6860000E-11	8.3160000E-11	2.4730000E-10	2.4097000E-10
2.9500000E+1	6.2610000E-11	5.7790000E-11	6.4270000E-11	1.8925000E-10	1.8467000E-10
4.1750000E+1	5.3170000E-11	4.8110000E-11	5.4340000E-11	1.5940000E-10	1.5562000E-10
5.4000000E+1	4.8650000E-11	4.3330000E-11	4.9200000E-11	1.4454000E-10	1.4118000E-10
6.6250000E+1	4.7460000E-11	4.2360000E-11	4.7660000E-11	1.4074000E-10	1.3748000E-10
7.8500000E+1	4.6960000E-11	4.2230000E-11	4.7100000E-11	1.3952000E-10	1.3629000E-10
9.0750000E+1	4.6520000E-11	4.2180000E-11	4.6690000E-11	1.3860000E-10	1.3539000E-10
1.0300000E+2	4.6130000E-11	4.2150000E-11	4.6230000E-11	1.3770000E-10	1.3451000E-10
1.1525000E+2	4.5940000E-11	4.2140000E-11	4.6010000E-11	1.3725000E-10	1.3409000E-10
1.2750000E+2	4.5790000E-11	4.2120000E-11	4.5860000E-11	1.3693000E-10	1.3377000E-10
1.3975000E+2	4.5690000E-11	4.2110000E-11	4.5760000E-11	1.3673000E-10	1.3356000E-10
1.5200000E+2	4.5630000E-11	4.2100000E-11	4.5690000E-11	1.3656000E-10	1.3342000E-10
1.6425000E+2	4.5570000E-11	4.2090000E-11	4.5630000E-11	1.3644000E-10	1.3329000E-10
1.7650000E+2	4.5530000E-11	4.2090000E-11	4.5580000E-11	1.3634000E-10	1.3320000E-10
1.8875000E+2	4.5500000E-11	4.2080000E-11	4.5540000E-11	1.3627000E-10	1.3312000E-10
2.0100000E+2	4.5470000E-11	4.2080000E-11	4.5510000E-11	1.3620000E-10	1.3306000E-10
2.1325000E+2	4.5460000E-11	4.2070000E-11	4.5490000E-11	1.3616000E-10	1.3302000E-10
2.2550000E+2	4.5450000E-11	4.2070000E-11	4.5480000E-11	1.3614000E-10	1.3300000E-10
2.3775000E+2	4.5440000E-11	4.2060000E-11	4.5460000E-11	1.3612000E-10	1.3296000E-10
2.5000000E+2	4.5440000E-11	4.2060000E-11	4.5450000E-11	1.3609000E-10	1.3295000E-10
