CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.2892000E-11	1.2010000E-11	1.2834000E-11	3.2150000E-11	3.7736000E-11
-2.4750000E+1	8.4140000E-12	7.4260000E-12	8.3390000E-12	1.7944000E-11	2.4179000E-11
-4.4500000E+1	7.8680000E-12	7.0660000E-12	7.7970000E-12	1.6456000E-11	2.2731000E-11
-6.4250000E+1	7.1970000E-12	6.5840000E-12	7.1120000E-12	1.4657000E-11	2.0893000E-11
-8.4000000E+1	6.9660000E-12	6.4430000E-12	6.8820000E-12	1.4018000E-11	2.0291000E-11
-1.0375000E+2	6.9270000E-12	6.4230000E-12	6.8510000E-12	1.3911000E-11	2.0201000E-11
-1.2350000E+2	6.9100000E-12	6.4060000E-12	6.8330000E-12	1.3854000E-11	2.0149000E-11
-1.4325000E+2	6.8930000E-12	6.3890000E-12	6.8170000E-12	1.3804000E-11	2.0099000E-11
-1.6300000E+2	6.8800000E-12	6.3740000E-12	6.8030000E-12	1.3761000E-11	2.0057000E-11
-1.8275000E+2	6.8700000E-12	6.3620000E-12	6.7920000E-12	1.3726000E-11	2.0024000E-11
-2.0250000E+2	6.8600000E-12	6.3520000E-12	6.7810000E-12	1.3695000E-11	1.9993000E-11
-2.2225000E+2	6.8520000E-12	6.3450000E-12	6.7750000E-12	1.3671000E-11	1.9972000E-11
-2.4200000E+2	6.8450000E-12	6.3360000E-12	6.7660000E-12	1.3645000E-11	1.9947000E-11
-2.6175000E+2	6.8380000E-12	6.3280000E-12	6.7580000E-12	1.3620000E-11	1.9924000E-11
-2.8150000E+2	6.8310000E-12	6.3210000E-12	6.7510000E-12	1.3600000E-11	1.9903000E-11
-3.0125000E+2	6.8240000E-12	6.3130000E-12	6.7440000E-12	1.3576000E-11	1.9881000E-11
-3.2100000E+2	6.8180000E-12	6.3070000E-12	6.7380000E-12	1.3557000E-11	1.9863000E-11
-3.4075000E+2	6.8140000E-12	6.3010000E-12	6.7320000E-12	1.3540000E-11	1.9847000E-11
-3.6050000E+2	6.8090000E-12	6.2950000E-12	6.7270000E-12	1.3526000E-11	1.9831000E-11
-3.8025000E+2	6.8060000E-12	6.2910000E-12	6.7220000E-12	1.3510000E-11	1.9819000E-11
-4.0000000E+2	6.8010000E-12	6.2860000E-12	6.7180000E-12	1.3496000E-11	1.9805000E-11
