IV Measurement
Barcode=33305010000619	DateIV=20151106	TempIV=23.3	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-1.0313070E-11	0.0000000E+0
-1.0000000E+1	4.8276500E-10	0.0000000E+0
-2.0000000E+1	5.3347700E-10	0.0000000E+0
-3.0000000E+1	5.9404800E-10	0.0000000E+0
-4.0000000E+1	6.4350900E-10	0.0000000E+0
-5.0000000E+1	6.9614300E-10	0.0000000E+0
-6.0000000E+1	7.3865800E-10	0.0000000E+0
-7.0000000E+1	7.7376700E-10	0.0000000E+0
-8.0000000E+1	8.1084200E-10	0.0000000E+0
-9.0000000E+1	8.4498000E-10	0.0000000E+0
-1.0000000E+2	8.6887300E-10	0.0000000E+0
-1.1000000E+2	8.9713900E-10	0.0000000E+0
-1.2000000E+2	9.2444700E-10	0.0000000E+0
-1.3000000E+2	9.5220800E-10	0.0000000E+0
-1.4000000E+2	9.7767900E-10	0.0000000E+0
-1.5000000E+2	9.9820700E-10	0.0000000E+0
-1.6000000E+2	1.0185820E-9	0.0000000E+0
-1.7000000E+2	1.0329440E-9	0.0000000E+0
-1.8000000E+2	1.0496850E-9	0.0000000E+0
-1.9000000E+2	1.0656360E-9	0.0000000E+0
-2.0000000E+2	1.0797440E-9	0.0000000E+0
-2.1000000E+2	1.0928450E-9	0.0000000E+0
-2.2000000E+2	1.1059110E-9	0.0000000E+0
-2.3000000E+2	1.1179970E-9	0.0000000E+0
-2.4000000E+2	1.1326530E-9	0.0000000E+0
-2.5000000E+2	1.1473990E-9	0.0000000E+0
-2.6000000E+2	1.1614780E-9	0.0000000E+0
-2.7000000E+2	1.1762830E-9	0.0000000E+0
-2.8000000E+2	1.1867550E-9	0.0000000E+0
-2.9000000E+2	1.2042030E-9	0.0000000E+0
-3.0000000E+2	1.2199240E-9	0.0000000E+0
-3.1000000E+2	1.2364620E-9	0.0000000E+0
-3.2000000E+2	1.2513470E-9	0.0000000E+0
-3.3000000E+2	1.2655250E-9	0.0000000E+0
-3.4000000E+2	1.2817990E-9	0.0000000E+0
-3.5000000E+2	1.2958170E-9	0.0000000E+0
-3.6000000E+2	1.3124770E-9	0.0000000E+0
-3.7000000E+2	1.3294890E-9	0.0000000E+0
-3.8000000E+2	1.3428540E-9	0.0000000E+0
-3.9000000E+2	1.3593880E-9	0.0000000E+0
-4.0000000E+2	1.3762280E-9	0.0000000E+0
-4.1000000E+2	1.3901690E-9	0.0000000E+0
-4.2000000E+2	1.4014620E-9	0.0000000E+0
-4.3000000E+2	1.4178260E-9	0.0000000E+0
-4.4000000E+2	1.4352330E-9	0.0000000E+0
-4.5000000E+2	1.4565190E-9	0.0000000E+0
-4.6000000E+2	1.4675530E-9	0.0000000E+0
-4.7000000E+2	1.4860660E-9	0.0000000E+0
-4.8000000E+2	1.5051920E-9	0.0000000E+0
-4.9000000E+2	1.5251710E-9	0.0000000E+0
-5.0000000E+2	1.5411190E-9	0.0000000E+0
-5.1000000E+2	1.5618060E-9	0.0000000E+0
-5.2000000E+2	1.5895190E-9	0.0000000E+0
-5.3000000E+2	1.5990410E-9	0.0000000E+0
-5.4000000E+2	1.6169690E-9	0.0000000E+0
-5.5000000E+2	1.6393230E-9	0.0000000E+0
-5.6000000E+2	1.6718160E-9	0.0000000E+0
-5.7000000E+2	1.6919610E-9	0.0000000E+0
-5.8000000E+2	1.7012080E-9	0.0000000E+0
-5.9000000E+2	1.7320780E-9	0.0000000E+0
-6.0000000E+2	1.7440070E-9	0.0000000E+0
-6.1000000E+2	2.0136900E-9	0.0000000E+0
-6.2000000E+2	2.0488200E-9	0.0000000E+0
-6.3000000E+2	2.0877600E-9	0.0000000E+0
-6.4000000E+2	2.1251700E-9	0.0000000E+0
-6.5000000E+2	2.1679400E-9	0.0000000E+0
-6.6000000E+2	2.2046000E-9	0.0000000E+0
-6.7000000E+2	2.2476900E-9	0.0000000E+0
-6.8000000E+2	2.2923100E-9	0.0000000E+0
-6.9000000E+2	2.3357000E-9	0.0000000E+0
-7.0000000E+2	2.3828200E-9	0.0000000E+0
