IV Measurement
Barcode=33305010000619	DateIV=20151105	TempIV=23.6	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-5.9713200E-9	0.0000000E+0
-1.0000000E+1	2.4828200E-8	0.0000000E+0
-2.0000000E+1	2.9213300E-8	0.0000000E+0
-3.0000000E+1	3.1578600E-8	0.0000000E+0
-4.0000000E+1	3.3306000E-8	0.0000000E+0
-5.0000000E+1	3.4890600E-8	0.0000000E+0
-6.0000000E+1	3.6155500E-8	0.0000000E+0
-7.0000000E+1	3.7094800E-8	0.0000000E+0
-8.0000000E+1	3.8153600E-8	0.0000000E+0
-9.0000000E+1	3.8959000E-8	0.0000000E+0
-1.0000000E+2	3.9958000E-8	0.0000000E+0
-1.1000000E+2	4.0551400E-8	0.0000000E+0
-1.2000000E+2	4.1477800E-8	0.0000000E+0
-1.3000000E+2	4.2143500E-8	0.0000000E+0
-1.4000000E+2	4.2712700E-8	0.0000000E+0
-1.5000000E+2	4.3250300E-8	0.0000000E+0
-1.6000000E+2	4.3714700E-8	0.0000000E+0
-1.7000000E+2	4.4379700E-8	0.0000000E+0
-1.8000000E+2	4.4958800E-8	0.0000000E+0
-1.9000000E+2	4.5463200E-8	0.0000000E+0
-2.0000000E+2	4.6282400E-8	0.0000000E+0
-2.1000000E+2	4.6819700E-8	0.0000000E+0
-2.2000000E+2	4.7278300E-8	0.0000000E+0
-2.3000000E+2	4.7831100E-8	0.0000000E+0
-2.4000000E+2	4.8510300E-8	0.0000000E+0
-2.5000000E+2	4.8823700E-8	0.0000000E+0
-2.6000000E+2	4.9629700E-8	0.0000000E+0
-2.7000000E+2	4.9953000E-8	0.0000000E+0
-2.8000000E+2	5.0629400E-8	0.0000000E+0
-2.9000000E+2	5.1325700E-8	0.0000000E+0
-3.0000000E+2	5.1676900E-8	0.0000000E+0
-3.1000000E+2	5.2513900E-8	0.0000000E+0
-3.2000000E+2	5.2927100E-8	0.0000000E+0
-3.3000000E+2	5.3701100E-8	0.0000000E+0
-3.4000000E+2	5.4072700E-8	0.0000000E+0
-3.5000000E+2	5.4720600E-8	0.0000000E+0
-3.6000000E+2	5.5328200E-8	0.0000000E+0
-3.7000000E+2	5.6190400E-8	0.0000000E+0
-3.8000000E+2	5.6576200E-8	0.0000000E+0
-3.9000000E+2	5.7426500E-8	0.0000000E+0
-4.0000000E+2	5.7981000E-8	0.0000000E+0
-4.1000000E+2	5.8798400E-8	0.0000000E+0
-4.2000000E+2	5.9324700E-8	0.0000000E+0
-4.3000000E+2	6.0225800E-8	0.0000000E+0
-4.4000000E+2	6.0755400E-8	0.0000000E+0
-4.5000000E+2	6.1518600E-8	0.0000000E+0
-4.6000000E+2	6.2413200E-8	0.0000000E+0
-4.7000000E+2	6.3171600E-8	0.0000000E+0
-4.8000000E+2	6.4109200E-8	0.0000000E+0
-4.9000000E+2	6.4723800E-8	0.0000000E+0
-5.0000000E+2	6.5720500E-8	0.0000000E+0
-5.1000000E+2	6.6519400E-8	0.0000000E+0
-5.2000000E+2	6.7610900E-8	0.0000000E+0
-5.3000000E+2	6.8397800E-8	0.0000000E+0
-5.4000000E+2	6.9340900E-8	0.0000000E+0
-5.5000000E+2	7.0535900E-8	0.0000000E+0
-5.6000000E+2	7.1529100E-8	0.0000000E+0
-5.7000000E+2	7.2425800E-8	0.0000000E+0
-5.8000000E+2	7.3600600E-8	0.0000000E+0
-5.9000000E+2	7.4717200E-8	0.0000000E+0
-6.0000000E+2	7.5909400E-8	0.0000000E+0
-6.1000000E+2	7.7242300E-8	0.0000000E+0
-6.2000000E+2	7.8691900E-8	0.0000000E+0
-6.3000000E+2	7.9789300E-8	0.0000000E+0
-6.4000000E+2	8.1461000E-8	0.0000000E+0
-6.5000000E+2	8.2842000E-8	0.0000000E+0
-6.6000000E+2	8.4263900E-8	0.0000000E+0
-6.7000000E+2	8.6088200E-8	0.0000000E+0
-6.8000000E+2	8.7620300E-8	0.0000000E+0
-6.9000000E+2	8.9451600E-8	0.0000000E+0
-7.0000000E+2	9.1509800E-8	0.0000000E+0
