CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	9.9720000E-12	9.2540000E-12	9.9570000E-12	2.2410000E-11	2.9183000E-11
-2.4750000E+1	7.2780000E-12	6.5330000E-12	7.2350000E-12	1.3971000E-11	2.1046000E-11
-4.4500000E+1	6.7330000E-12	6.0160000E-12	6.6860000E-12	1.2297000E-11	1.9435000E-11
-6.4250000E+1	6.4490000E-12	5.7700000E-12	6.4010000E-12	1.1449000E-11	1.8620000E-11
-8.4000000E+1	6.2670000E-12	5.6210000E-12	6.2190000E-12	1.0913000E-11	1.8107000E-11
-1.0375000E+2	6.1400000E-12	5.5210000E-12	6.0910000E-12	1.0538000E-11	1.7752000E-11
-1.2350000E+2	6.0330000E-12	5.4370000E-12	5.9830000E-12	1.0231000E-11	1.7453000E-11
-1.4325000E+2	5.9460000E-12	5.3700000E-12	5.8950000E-12	9.9830000E-12	1.7211000E-11
-1.6300000E+2	5.8750000E-12	5.3140000E-12	5.8220000E-12	9.7750000E-12	1.7011000E-11
-1.8275000E+2	5.8110000E-12	5.2660000E-12	5.7580000E-12	9.5960000E-12	1.6835000E-11
-2.0250000E+2	5.7550000E-12	5.2230000E-12	5.7010000E-12	9.4340000E-12	1.6679000E-11
-2.2225000E+2	5.7140000E-12	5.1860000E-12	5.6490000E-12	9.2910000E-12	1.6549000E-11
-2.4200000E+2	5.6780000E-12	5.1650000E-12	5.6210000E-12	9.2140000E-12	1.6464000E-11
-2.6175000E+2	5.6740000E-12	5.1610000E-12	5.6180000E-12	9.1990000E-12	1.6453000E-11
-2.8150000E+2	5.6720000E-12	5.1590000E-12	5.6160000E-12	9.1930000E-12	1.6447000E-11
-3.0125000E+2	5.6710000E-12	5.1580000E-12	5.6140000E-12	9.1910000E-12	1.6443000E-11
-3.2100000E+2	5.6700000E-12	5.1590000E-12	5.6130000E-12	9.1890000E-12	1.6442000E-11
-3.4075000E+2	5.6690000E-12	5.1580000E-12	5.6130000E-12	9.1860000E-12	1.6440000E-11
-3.6050000E+2	5.6700000E-12	5.1580000E-12	5.6110000E-12	9.1850000E-12	1.6439000E-11
-3.8025000E+2	5.6710000E-12	5.1580000E-12	5.6110000E-12	9.1850000E-12	1.6440000E-11
-4.0000000E+2	5.6700000E-12	5.1570000E-12	5.6110000E-12	9.1830000E-12	1.6438000E-11
