CV Measurement
Barcode=33305010000619	DateCV=20160311	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.4910000E-10	0.0000000E+0	2.4910000E-10
-1.0000000E+1	1.7989000E-10	0.0000000E+0	1.7989000E-10
-1.5000000E+1	1.4277000E-10	0.0000000E+0	1.4277000E-10
-2.0000000E+1	1.1309000E-10	0.0000000E+0	1.1309000E-10
-2.5000000E+1	9.6810000E-11	0.0000000E+0	9.6810000E-11
-3.0000000E+1	8.9930000E-11	0.0000000E+0	8.9930000E-11
-3.5000000E+1	8.5920000E-11	0.0000000E+0	8.5920000E-11
-4.0000000E+1	8.3440000E-11	0.0000000E+0	8.3440000E-11
-4.5000000E+1	8.1570000E-11	0.0000000E+0	8.1570000E-11
-5.0000000E+1	8.0020000E-11	0.0000000E+0	8.0020000E-11
-5.5000000E+1	7.8620000E-11	0.0000000E+0	7.8620000E-11
-6.0000000E+1	7.7370000E-11	0.0000000E+0	7.7370000E-11
-6.5000000E+1	8.1280000E-11	0.0000000E+0	8.1280000E-11
-7.0000000E+1	7.8910000E-11	0.0000000E+0	7.8910000E-11
-7.5000000E+1	7.7190000E-11	0.0000000E+0	7.7190000E-11
-8.0000000E+1	7.5130000E-11	0.0000000E+0	7.5130000E-11
-8.5000000E+1	7.3560000E-11	0.0000000E+0	7.3560000E-11
-9.0000000E+1	7.2200000E-11	0.0000000E+0	7.2200000E-11
-9.5000000E+1	7.1100000E-11	0.0000000E+0	7.1100000E-11
-1.0000000E+2	7.0080000E-11	0.0000000E+0	7.0080000E-11
-1.0500000E+2	6.9750000E-11	0.0000000E+0	6.9750000E-11
-1.1000000E+2	6.7650000E-11	0.0000000E+0	6.7650000E-11
-1.1500000E+2	6.2520000E-11	0.0000000E+0	6.2520000E-11
-1.2000000E+2	6.1340000E-11	0.0000000E+0	6.1340000E-11
-1.2500000E+2	6.1180000E-11	0.0000000E+0	6.1180000E-11
-1.3000000E+2	6.0930000E-11	0.0000000E+0	6.0930000E-11
-1.3500000E+2	6.0880000E-11	0.0000000E+0	6.0880000E-11
-1.4000000E+2	6.0920000E-11	0.0000000E+0	6.0920000E-11
-1.4500000E+2	6.0570000E-11	0.0000000E+0	6.0570000E-11
-1.5000000E+2	6.0590000E-11	0.0000000E+0	6.0590000E-11
-1.5500000E+2	6.0450000E-11	0.0000000E+0	6.0450000E-11
-1.6000000E+2	6.0400000E-11	0.0000000E+0	6.0400000E-11
-1.6500000E+2	6.0690000E-11	0.0000000E+0	6.0690000E-11
-1.7000000E+2	6.0350000E-11	0.0000000E+0	6.0350000E-11
-1.7500000E+2	6.0700000E-11	0.0000000E+0	6.0700000E-11
