CV Measurement
Barcode=33305010000619	DateCV=20160310	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	9.0920000E-13	0.0000000E+0	9.0920000E-13
-1.0000000E+1	7.6290000E-13	0.0000000E+0	7.6290000E-13
-1.5000000E+1	7.0400000E-13	0.0000000E+0	7.0400000E-13
-2.0000000E+1	6.7880000E-13	0.0000000E+0	6.7880000E-13
-2.5000000E+1	6.6460000E-13	0.0000000E+0	6.6460000E-13
-3.0000000E+1	6.8430000E-13	0.0000000E+0	6.8430000E-13
-3.5000000E+1	7.1590000E-13	0.0000000E+0	7.1590000E-13
-4.0000000E+1	7.5270000E-13	0.0000000E+0	7.5270000E-13
-4.5000000E+1	7.8930000E-13	0.0000000E+0	7.8930000E-13
-5.0000000E+1	8.2910000E-13	0.0000000E+0	8.2910000E-13
-5.5000000E+1	8.7220000E-13	0.0000000E+0	8.7220000E-13
-6.0000000E+1	9.1500000E-13	0.0000000E+0	9.1500000E-13
-6.5000000E+1	9.5670000E-13	0.0000000E+0	9.5670000E-13
-7.0000000E+1	9.9660000E-13	0.0000000E+0	9.9660000E-13
-7.5000000E+1	1.0347000E-12	0.0000000E+0	1.0347000E-12
-8.0000000E+1	1.0713000E-12	0.0000000E+0	1.0713000E-12
-8.5000000E+1	1.1055000E-12	0.0000000E+0	1.1055000E-12
-9.0000000E+1	1.1387000E-12	0.0000000E+0	1.1387000E-12
-9.5000000E+1	1.1706000E-12	0.0000000E+0	1.1706000E-12
-1.0000000E+2	1.2011000E-12	0.0000000E+0	1.2011000E-12
-1.0500000E+2	1.2296000E-12	0.0000000E+0	1.2296000E-12
-1.1000000E+2	1.2569000E-12	0.0000000E+0	1.2569000E-12
-1.1500000E+2	1.2831000E-12	0.0000000E+0	1.2831000E-12
-1.2000000E+2	1.3081000E-12	0.0000000E+0	1.3081000E-12
-1.2500000E+2	1.3320000E-12	0.0000000E+0	1.3320000E-12
-1.3000000E+2	1.3549000E-12	0.0000000E+0	1.3549000E-12
-1.3500000E+2	1.3780000E-12	0.0000000E+0	1.3780000E-12
-1.4000000E+2	1.3980000E-12	0.0000000E+0	1.3980000E-12
-1.4500000E+2	1.4190000E-12	0.0000000E+0	1.4190000E-12
-1.5000000E+2	1.4390000E-12	0.0000000E+0	1.4390000E-12
-1.5500000E+2	1.4580000E-12	0.0000000E+0	1.4580000E-12
-1.6000000E+2	1.4770000E-12	0.0000000E+0	1.4770000E-12
-1.6500000E+2	1.4940000E-12	0.0000000E+0	1.4940000E-12
-1.7000000E+2	1.5110000E-12	0.0000000E+0	1.5110000E-12
-1.7500000E+2	1.5280000E-12	0.0000000E+0	1.5280000E-12
-1.8000000E+2	1.5440000E-12	0.0000000E+0	1.5440000E-12
-1.8500000E+2	1.5600000E-12	0.0000000E+0	1.5600000E-12
-1.9000000E+2	1.5750000E-12	0.0000000E+0	1.5750000E-12
-1.9500000E+2	1.5900000E-12	0.0000000E+0	1.5900000E-12
-2.0000000E+2	1.6040000E-12	0.0000000E+0	1.6040000E-12
-2.0500000E+2	1.6180000E-12	0.0000000E+0	1.6180000E-12
-2.1000000E+2	1.6320000E-12	0.0000000E+0	1.6320000E-12
-2.1500000E+2	1.6460000E-12	0.0000000E+0	1.6460000E-12
-2.2000000E+2	1.6590000E-12	0.0000000E+0	1.6590000E-12
-2.2500000E+2	1.6720000E-12	0.0000000E+0	1.6720000E-12
-2.3000000E+2	1.6850000E-12	0.0000000E+0	1.6850000E-12
-2.3500000E+2	1.6970000E-12	0.0000000E+0	1.6970000E-12
-2.4000000E+2	1.7100000E-12	0.0000000E+0	1.7100000E-12
-2.4500000E+2	1.7220000E-12	0.0000000E+0	1.7220000E-12
-2.5000000E+2	1.7340000E-12	0.0000000E+0	1.7340000E-12
-2.5500000E+2	1.7440000E-12	0.0000000E+0	1.7440000E-12
-2.6000000E+2	1.7530000E-12	0.0000000E+0	1.7530000E-12
-2.6500000E+2	1.7600000E-12	0.0000000E+0	1.7600000E-12
-2.7000000E+2	1.7650000E-12	0.0000000E+0	1.7650000E-12
-2.7500000E+2	1.7680000E-12	0.0000000E+0	1.7680000E-12
-2.8000000E+2	1.7710000E-12	0.0000000E+0	1.7710000E-12
-2.8500000E+2	1.7720000E-12	0.0000000E+0	1.7720000E-12
-2.9000000E+2	1.7730000E-12	0.0000000E+0	1.7730000E-12
-2.9500000E+2	1.7740000E-12	0.0000000E+0	1.7740000E-12
-3.0000000E+2	1.7740000E-12	0.0000000E+0	1.7740000E-12
-3.0500000E+2	1.7750000E-12	0.0000000E+0	1.7750000E-12
-3.1000000E+2	1.7750000E-12	0.0000000E+0	1.7750000E-12
-3.1500000E+2	1.7750000E-12	0.0000000E+0	1.7750000E-12
-3.2000000E+2	1.7750000E-12	0.0000000E+0	1.7750000E-12
-3.2500000E+2	1.7750000E-12	0.0000000E+0	1.7750000E-12
-3.3000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.3500000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.4000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.4500000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.5000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.5500000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.6000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.6500000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.7000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.7500000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.8000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.8500000E+2	1.7770000E-12	0.0000000E+0	1.7770000E-12
-3.9000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-3.9500000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-4.0000000E+2	1.7760000E-12	0.0000000E+0	1.7760000E-12
-4.0500000E+2	1.7770000E-12	0.0000000E+0	1.7770000E-12
